,Date_Time,Score,URL,IP,Length,digits,digit_ratio,Hyperlinks
0,2023-02-11 13:52:45,3.5,http://www.to-saission.tpnqdp.cn/web/login.jsp,143.92.50.19,46,0,0.0,25.0
3,2023-02-11 13:52:23,3.7,https://www.sassoin-cards.tuhqvv.cn/web/login.jsp,43.243.111.7,49,0,0.0,25.0
4,2023-02-11 13:52:17,5.6,https://www.momeykite.drsba.com/sonn/client/index_sp.html,23.247.42.26,57,0,0.0,5.0
5,2023-02-11 13:52:13,2.7,https://www.info-saiisosn-cards.txjmxfa.cn/web/sign,202.146.218.53,51,0,0.0,25.0
6,2023-02-11 13:52:06,3.8,https://www.info-saiisosn-cards.txjmxfa.cn/web/login.jsp,202.146.218.53,56,0,0.0,25.0
7,2023-02-11 13:52:00,5.3,https://www-info-cr-mufg.rakutennft.com/jp.php,155.94.128.140,46,0,0.0,0.0
24,2023-02-11 13:48:27,1.8,https://cache.nebula.phx3.secureserver.net/obj/QkMyMThBNjg0RjJCRjg2Njc3OEM6YWY1ZDcwYjhhODdhZmQwZDgyZTdkOTUyMDlkY2YzODY6Ojo6,216.69.141.2,123,9,0.07317073170731707,3.0
25,2023-02-11 13:48:24,4.7,https://account-status.amazo.co.jp.kijjxhv.cn/,155.94.134.41,46,0,0.0,0.0
26,2023-02-11 13:47:58,2.1,http://104.129.205.92.host.secureserver.net/clienteseguro/?cid=atualizacao@regular.com.br,92.205.129.104,89,11,0.12359550561797752,0.0
81,2023-02-11 09:31:50,3.1,http://yournetworkcenter.click/,103.110.84.6,31,0,0.0,0.0
84,2023-02-11 09:31:32,3.1,http://www.wuerth-mail.com/,85.10.237.218,27,0,0.0,0.0
85,2023-02-11 09:31:30,1.5,http://www.whatsapp-sa.com/,5.196.114.203,27,0,0.0,1.0
86,2023-02-11 09:31:29,5.5,http://www.virkunarze.tk/Zinqfiledoc/,162.240.223.232,37,0,0.0,0.0
90,2023-02-11 09:31:21,3.2,http://www.tronasia.in/UPS/,82.180.143.216,27,0,0.0,25.0
91,2023-02-11 09:31:18,2.4,http://www.stylesofelegancesalon.com/stonecrestga/quad/,69.49.247.78,55,0,0.0,0.0
92,2023-02-11 09:31:17,1.8,http://www.sinueloagropecuaria.com.br/wp-content/uploads/2023/02/-/cagr/aggr/,177.101.144.101,77,6,0.07792207792207792,0.0
94,2023-02-11 09:31:13,4.0,http://www.sharonandshaun.com/mygov-au/soft/personal.html,69.49.229.176,57,0,0.0,0.0
95,2023-02-11 09:31:12,4.4,http://www.sharonandshaun.com/mygov-au/soft/otp.html,69.49.229.176,52,0,0.0,1.0
96,2023-02-11 09:31:11,4.5,http://www.sharonandshaun.com/mygov-au/soft/otp2.html,69.49.229.176,53,1,0.018867924528301886,1.0
97,2023-02-11 09:31:09,3.5,http://www.sharonandshaun.com/mygov-au/soft/index2.html,69.49.229.176,55,1,0.01818181818181818,1.0
98,2023-02-11 09:31:08,1.6,http://www.sharonandshaun.com/mygov-au/soft/,69.49.229.176,44,0,0.0,1.0
100,2023-02-11 09:31:06,6.5,http://www.santuccipropiedades.com.uy/.well-known/41488/Login.html,72.44.88.35,66,5,0.07575757575757576,25.0
101,2023-02-11 09:31:04,6.3,http://www.sajjad.ir/bell/bellAliant/Hxap9Ge07mnszS/bellzAll.php,46.4.144.64,64,3,0.046875,0.0
102,2023-02-11 09:31:01,5.4,http://www.sajjad.ir/bell/bellAliant/Hxap9Ge07mnszS/bellzAll_err.php?email=,46.4.144.64,75,3,0.04,0.0
103,2023-02-11 09:30:59,6.3,http://www.sajjad.ir/bell/bellAliant/32CZQO&QD1A61C/bellzAll.php,46.4.144.64,64,5,0.078125,0.0
104,2023-02-11 09:30:57,4.0,http://www.sajjad.ir/bell/bellAliant/32CZQO&QD1A61C/bellzAll_err.php?email=,46.4.144.64,75,5,0.06666666666666667,0.0
105,2023-02-11 09:30:55,6.8,http://www.saison-citare.com/WebPc/login.html,157.7.135.145,45,0,0.0,0.0
106,2023-02-11 09:30:53,1.6,http://www.relicsalon.in/qvk/Directosanta/directosanta/directosanta/,68.178.226.55,68,0,0.0,0.0
107,2023-02-11 09:30:50,6.5,http://www.regoliniarquitectos.com/home/emiratespostn/NV6588123/smstwo.php,200.58.110.56,74,7,0.0945945945945946,4.0
108,2023-02-11 09:30:47,6.6,http://www.regoliniarquitectos.com/home/emiratespostn/NV6588123/smstalata.php,200.58.110.56,77,7,0.09090909090909091,4.0
109,2023-02-11 09:30:42,6.1,http://www.regoliniarquitectos.com/home/emiratespostn/NV6588123/sms.php,200.58.110.56,71,7,0.09859154929577464,4.0
110,2023-02-11 09:30:39,5.7,http://www.regoliniarquitectos.com/home/emiratespostn/NV6588123/,2800:6c0:2::6b,64,7,0.109375,5.0
111,2023-02-11 09:30:37,2.4,http://www.redddsfrt.duckdns.org/Osth/fixed/file/secure/document/access/,185.173.34.240,72,0,0.0,0.0
