,Unnamed: 0,Date_Time,Score,URL,IP,Length,digits,digit_ratio,Hyperlinks,Sus_Words
0,0,2023-02-09 07:54:34,3.5,https://647cyu.z8.web.core.windows.net/,20.60.72.33,39,4,0.1025641025641025,0.0,1.0
1,1,2023-02-09 07:54:31,2.2,https://30-02-9v-h38g5f-83gfd028egfd-2gfe0-g8w0egff.obs.ap-southeast-1.myhuaweicloud.com/cdc-v0j-e9rhgt-v8gfv0w-fgw-0efg-8rfg-k.html?AWSAccessKeyId=PSFS7N7MN9X7UMZROJRS&Expires=1677682992&Signature=hNWD8fjiNJYx8eU7bMXcdDazfxk%3D,159.138.16.166,228,42,0.1842105263157894,0.0,0.0
2,2,2023-02-09 07:54:29,2.2,https://22-02-0-fj39h5rg-38rgf-83gef-08cgw-eg0e-ff.obs.ap-southeast-2.myhuaweicloud.com/6-0jv-w9rhbf0-qw8ebv08fwghrf0-whbrf-0wgr.html?AWSAccessKeyId=PSFS7N7MN9X7UMZROJRS&Expires=1677073448&Signature=9QllgwtsrOCIyCSBTkgh4tumKgo%3D,110.238.127.235,229,42,0.1834061135371179,0.0,0.0
3,3,2023-02-09 07:54:26,4.1,https://22-02-0-3rg9hf-3r9fv-wrgvc-wd9jc-ge3r-gcgb-e.obs.ap-southeast-3.myhuaweicloud.com/vh84rv0h08w-rhgw0-8eghv0w-g0-8gdgcde.html?AWSAccessKeyId=LUQ5O192P5DETRGMIBAX&Expires=1677081450&Signature=CD0M8EYmtHScv3oFCxgWIzCRl/o%3D,159.138.80.33,227,41,0.1806167400881057,0.0,0.0
4,6,2023-02-09 07:54:14,5.6,http://portogran.com.br/loges/wp-set/main/view-application/accounts/users/confirmation/login.php,187.17.111.105,96,0,0.0,1.0,0.0
5,14,2023-02-09 07:53:52,3.0,http://cleaningservicesusa.com/,35.215.146.190,31,0,0.0,25.0,0.0
6,17,2023-02-09 07:53:41,3.0,http://accfoto.ro/wp/swa/webmail-op.jp/,95.214.135.115,39,0,0.0,0.0,0.0
7,23,2023-02-09 06:24:31,3.6,https://yrtuyjghf.top/jp,155.94.140.114,24,0,0.0,0.0,0.0
8,28,2023-02-09 06:23:59,3.1,https://tinyurl.com/bpercardcom,2606:4700:10::ac43:1e1,31,0,0.0,1.0,1.0
9,30,2023-02-09 06:23:26,5.1,https://ngvnrhb.top/jp,155.94.140.114,22,0,0.0,0.0,0.0
10,35,2023-02-09 06:23:00,1.6,https://hgdd3ssc.top/jp,155.94.140.114,23,1,0.0434782608695652,0.0,0.0
11,44,2023-02-09 06:21:44,2.8,https://cache.nebula.phx3.secureserver.net/obj/QkMyMThBNjg0RjJCRjg2Njc3OEM6YWY1ZDcwYjhhODdhZmQwZDgyZTdkOTUyMDlkY2YzODY6Ojo6,216.69.141.2,123,9,0.073170731707317,3.0,0.0
